in:dy_4,in:dx_0,in:dy_0,out:Deflection,out:Mass,img
-2,-1,-2,0.106173,264.727481,dy_4-2_dx_0-1_dy_0-2.png
-1.2,-1,-2,0.130979,267.768893,dy_4-1.2_dx_0-1_dy_0-2.png
-0.4,-1,-2,0.181665,276.812793,dy_4-0.4_dx_0-1_dy_0-2.png
0.4,-1,-2,0.166579,292.022418,dy_40.4_dx_0-1_dy_0-2.png
1.2,-1,-2,0.112326,312.84014,dy_41.2_dx_0-1_dy_0-2.png
2,-1,-2,0.086667,337.953513,dy_42_dx_0-1_dy_0-2.png
-2,-0.6,-2,0.096241,250.496719,dy_4-2_dx_0-0.6_dy_0-2.png
-1.2,-0.6,-2,0.11902,254.692314,dy_4-1.2_dx_0-0.6_dy_0-2.png
-0.4,-0.6,-2,0.16587,264.658877,dy_4-0.4_dx_0-0.6_dy_0-2.png
0.4,-0.6,-2,0.157547,280.575532,dy_40.4_dx_0-0.6_dy_0-2.png
1.2,-0.6,-2,0.10957,301.936232,dy_41.2_dx_0-0.6_dy_0-2.png
2,-0.6,-2,0.085589,327.473323,dy_42_dx_0-0.6_dy_0-2.png
-2,-0.2,-2,0.087101,237.761116,dy_4-2_dx_0-0.2_dy_0-2.png
-1.2,-0.2,-2,0.109974,243.207298,dy_4-1.2_dx_0-0.2_dy_0-2.png
-0.4,-0.2,-2,0.155579,254.083856,dy_4-0.4_dx_0-0.2_dy_0-2.png
0.4,-0.2,-2,0.152261,270.658167,dy_40.4_dx_0-0.2_dy_0-2.png
1.2,-0.2,-2,0.108213,292.505635,dy_41.2_dx_0-0.2_dy_0-2.png
2,-0.2,-2,0.085215,318.413522,dy_42_dx_0-0.2_dy_0-2.png
-2,0.2,-2,0.080082,226.700452,dy_4-2_dx_00.2_dy_0-2.png
-1.2,0.2,-2,0.104422,233.41671,dy_4-1.2_dx_00.2_dy_0-2.png
-0.4,0.2,-2,0.150726,245.12706,dy_4-0.4_dx_00.2_dy_0-2.png
0.4,0.2,-2,0.150786,262.270309,dy_40.4_dx_00.2_dy_0-2.png
1.2,0.2,-2,0.108333,284.524829,dy_41.2_dx_00.2_dy_0-2.png
2,0.2,-2,0.085574,310.736252,dy_42_dx_00.2_dy_0-2.png
-2,0.6,-2,0.076283,217.56805,dy_4-2_dx_00.6_dy_0-2.png
-1.2,0.6,-2,0.102679,225.423336,dy_4-1.2_dx_00.6_dy_0-2.png
-0.4,0.6,-2,0.151299,237.808812,dy_4-0.4_dx_00.6_dy_0-2.png
0.4,0.6,-2,0.153202,255.38982,dy_40.4_dx_00.6_dy_0-2.png
1.2,0.6,-2,0.109963,277.948782,dy_41.2_dx_00.6_dy_0-2.png
2,0.6,-2,0.086666,304.383352,dy_42_dx_00.6_dy_0-2.png
-2,1,-2,0.076141,210.669179,dy_4-2_dx_01_dy_0-2.png
-1.2,1,-2,0.104775,219.312296,dy_4-1.2_dx_01_dy_0-2.png
-0.4,1,-2,0.157348,232.12698,dy_4-0.4_dx_01_dy_0-2.png
0.4,1,-2,0.159603,249.975898,dy_40.4_dx_01_dy_0-2.png
1.2,1,-2,0.113084,272.717462,dy_41.2_dx_01_dy_0-2.png
2,1,-2,0.088458,299.284293,dy_42_dx_01_dy_0-2.png
-2,-1,-1,0.14283,233.307637,dy_4-2_dx_0-1_dy_0-1.png
-1.2,-1,-1,0.163988,232.10792,dy_4-1.2_dx_0-1_dy_0-1.png
-0.4,-1,-1,0.199289,238.549722,dy_4-0.4_dx_0-1_dy_0-1.png
0.4,-1,-1,0.161844,252.183837,dy_40.4_dx_0-1_dy_0-1.png
1.2,-1,-1,0.106238,272.018429,dy_41.2_dx_0-1_dy_0-1.png
2,-1,-1,0.082034,296.491891,dy_42_dx_0-1_dy_0-1.png
-2,-0.6,-1,0.132427,218.085555,dy_4-2_dx_0-0.6_dy_0-1.png
-1.2,-0.6,-1,0.141088,218.034833,dy_4-1.2_dx_0-0.6_dy_0-1.png
-0.4,-0.6,-1,0.170771,225.6747,dy_4-0.4_dx_0-0.6_dy_0-1.png
0.4,-0.6,-1,0.148411,240.291383,dy_40.4_dx_0-0.6_dy_0-1.png
1.2,-0.6,-1,0.102547,260.882232,dy_41.2_dx_0-0.6_dy_0-1.png
2,-0.6,-1,0.080758,285.935005,dy_42_dx_0-0.6_dy_0-1.png
-2,-0.2,-1,0.11761,204.24478,dy_4-2_dx_0-0.2_dy_0-1.png
-1.2,-0.2,-1,0.121076,205.680916,dy_4-1.2_dx_0-0.2_dy_0-1.png
-0.4,-0.2,-1,0.151457,214.659387,dy_4-0.4_dx_0-0.2_dy_0-1.png
0.4,-0.2,-1,0.140414,230.264295,dy_40.4_dx_0-0.2_dy_0-1.png
1.2,-0.2,-1,0.100885,251.567191,dy_41.2_dx_0-0.2_dy_0-1.png
2,-0.2,-1,0.080537,277.143349,dy_42_dx_0-0.2_dy_0-1.png
-2,0.2,-1,0.099221,191.796011,dy_4-2_dx_00.2_dy_0-1.png
-1.2,0.2,-1,0.106559,195.149637,dy_4-1.2_dx_00.2_dy_0-1.png
-0.4,0.2,-1,0.141253,205.538557,dy_4-0.4_dx_00.2_dy_0-1.png
0.4,0.2,-1,0.138044,222.067483,dy_40.4_dx_00.2_dy_0-1.png
