in:dy_4,in:dx_0,in:dy_0,out:Deflection,out:Mass,img
-2,-1,-2,0.077098,219.016594,dy_4-2_dx_0-1_dy_0-2.png
-1.2,-1,-2,0.165335,258.741712,dy_4-1.2_dx_0-1_dy_0-2.png
-0.4,-1,-2,0.157406,273.461271,dy_4-0.4_dx_0-1_dy_0-2.png
0.4,-1,-2,0.101937,294.310186,dy_40.4_dx_0-1_dy_0-2.png
1.2,-1,-2,0.078154,319.748183,dy_41.2_dx_0-1_dy_0-2.png
2,-1,-2,0.071348,348.185943,dy_42_dx_0-1_dy_0-2.png
-2,-0.6,-2,0.102855,237.237114,dy_4-2_dx_0-0.6_dy_0-2.png
-1.2,-0.6,-2,0.149588,246.282405,dy_4-1.2_dx_0-0.6_dy_0-2.png
-0.4,-0.6,-2,0.147777,261.768603,dy_4-0.4_dx_0-0.6_dy_0-2.png
0.4,-0.6,-2,0.09923,283.197286,dy_40.4_dx_0-0.6_dy_0-2.png
1.2,-0.6,-2,0.077107,309.08139,dy_41.2_dx_0-0.6_dy_0-2.png
2,-0.6,-2,0.070776,337.869782,dy_42_dx_0-0.6_dy_0-2.png
-2,-0.2,-2,0.094423,225.459501,dy_4-2_dx_0-0.2_dy_0-2.png
-1.2,-0.2,-2,0.13936,235.513988,dy_4-1.2_dx_0-0.2_dy_0-2.png
-0.4,-0.2,-2,0.142191,251.712752,dy_4-0.4_dx_0-0.2_dy_0-2.png
0.4,-0.2,-2,0.097902,273.657889,dy_40.4_dx_0-0.2_dy_0-2.png
1.2,-0.2,-2,0.07674,299.928775,dy_41.2_dx_0-0.2_dy_0-2.png
2,-0.2,-2,0.070685,329.015746,dy_42_dx_0-0.2_dy_0-2.png
-2,0.2,-2,0.089234,215.511612,dy_4-2_dx_00.2_dy_0-2.png
-1.2,0.2,-2,0.134636,226.490594,dy_4-1.2_dx_00.2_dy_0-2.png
-0.4,0.2,-2,0.140709,243.298757,dy_4-0.4_dx_00.2_dy_0-2.png
0.4,0.2,-2,0.098037,265.668722,dy_40.4_dx_00.2_dy_0-2.png
1.2,0.2,-2,0.077083,292.250334,dy_41.2_dx_00.2_dy_0-2.png
2,0.2,-2,0.071083,321.573531,dy_42_dx_00.2_dy_0-2.png
-2,0.6,-2,0.087719,207.533214,dy_4-2_dx_00.6_dy_0-2.png
-1.2,0.6,-2,0.135422,219.242166,dy_4-1.2_dx_00.6_dy_0-2.png
-0.4,0.6,-2,0.143419,236.503279,dy_4-0.4_dx_00.6_dy_0-2.png
0.4,0.6,-2,0.099668,259.179107,dy_40.4_dx_00.6_dy_0-2.png
1.2,0.6,-2,0.078134,285.980305,dy_41.2_dx_00.6_dy_0-2.png
2,0.6,-2,0.071957,315.468487,dy_42_dx_00.6_dy_0-2.png
-2,1,-2,0.089904,201.640325,dy_4-2_dx_01_dy_0-2.png
-1.2,1,-2,0.141755,213.768497,dy_4-1.2_dx_01_dy_0-2.png
-0.4,1,-2,0.150427,231.27883,dy_4-0.4_dx_01_dy_0-2.png
0.4,1,-2,0.102765,254.119394,dy_40.4_dx_01_dy_0-2.png
1.2,1,-2,0.079854,281.037436,dy_41.2_dx_01_dy_0-2.png
2,1,-2,0.073273,310.612753,dy_42_dx_01_dy_0-2.png
-2,-1,-1,0.147459,215.798437,dy_4-2_dx_0-1_dy_0-1.png
-1.2,-1,-1,0.18695,220.794466,dy_4-1.2_dx_0-1_dy_0-1.png
-0.4,-1,-1,0.15332,233.724328,dy_4-0.4_dx_0-1_dy_0-1.png
0.4,-1,-1,0.09608,253.488611,dy_40.4_dx_0-1_dy_0-1.png
1.2,-1,-1,0.073722,278.238473,dy_41.2_dx_0-1_dy_0-1.png
2,-1,-1,0.067448,306.219036,dy_42_dx_0-1_dy_0-1.png
-2,-0.6,-1,0.12703,201.174371,dy_4-2_dx_0-0.6_dy_0-1.png
-1.2,-0.6,-1,0.156825,207.461622,dy_4-1.2_dx_0-0.6_dy_0-1.png
-0.4,-0.6,-1,0.138541,221.471309,dy_4-0.4_dx_0-0.6_dy_0-1.png
0.4,-0.6,-1,0.092354,242.058644,dy_40.4_dx_0-0.6_dy_0-1.png
1.2,-0.6,-1,0.072445,267.429426,dy_41.2_dx_0-0.6_dy_0-1.png
2,-0.6,-1,0.066872,295.88537,dy_42_dx_0-0.6_dy_0-1.png
-2,-0.2,-1,0.107497,188.356689,dy_4-2_dx_0-0.2_dy_0-1.png
-1.2,-0.2,-1,0.136296,196.141115,dy_4-1.2_dx_0-0.2_dy_0-1.png
-0.4,-0.2,-1,0.129793,211.252481,dy_4-0.4_dx_0-0.2_dy_0-1.png
0.4,-0.2,-1,0.126728,212.656105,dy_40.4_dx_0-0.2_dy_0-1.png
1.2,-0.2,-1,0.088565,234.424624,dy_41.2_dx_0-0.2_dy_0-1.png
2,-0.2,-1,0.07151,260.624982,dy_42_dx_0-0.2_dy_0-1.png
-2,0.2,-1,0.094122,175.9084,dy_4-2_dx_00.2_dy_0-1.png
-1.2,0.2,-1,0.09401,177.923858,dy_4-1.2_dx_00.2_dy_0-1.png
-0.4,0.2,-1,0.128005,187.870403,dy_4-0.4_dx_00.2_dy_0-1.png
0.4,0.2,-1,0.1247,204.496533,dy_40.4_dx_00.2_dy_0-1.png
1.2,0.2,-1,0.089202,226.917838,dy_41.2_dx_00.2_dy_0-1.png
2,0.2,-1,0.072402,253.56902,dy_42_dx_00.2_dy_0-1.png
-2,0.6,-1,0.074691,164.620609,dy_4-2_dx_00.6_dy_0-1.png
-1.2,0.6,-1,0.086997,169.411293,dy_4-1.2_dx_00.6_dy_0-1.png
-0.4,0.6,-1,0.127508,180.835997,dy_4-0.4_dx_00.6_dy_0-1.png
0.4,0.6,-1,0.128737,198.264382,dy_40.4_dx_00.6_dy_0-1.png
1.2,0.6,-1,0.092006,221.174704,dy_41.2_dx_00.6_dy_0-1.png
2,0.6,-1,0.074334,248.15188,dy_42_dx_00.6_dy_0-1.png
-2,1,-1,0.065675,155.944155,dy_4-2_dx_01_dy_0-1.png
-1.2,1,-1,0.088623,163.592048,dy_4-1.2_dx_01_dy_0-1.png
-0.4,1,-1,0.136889,175.991521,dy_4-0.4_dx_01_dy_0-1.png
0.4,1,-1,0.139089,193.88611,dy_40.4_dx_01_dy_0-1.png
1.2,1,-1,0.096887,217.066946,dy_41.2_dx_01_dy_0-1.png
2,1,-1,0.077199,244.220205,dy_42_dx_01_dy_0-1.png
-2,-1,0,0.127219,197.103286,dy_4-2_dx_0-1_dy_00.png
-1.2,-1,0,0.248433,187.156953,dy_4-1.2_dx_0-1_dy_00.png
-0.4,-1,0,0.359718,187.395196,dy_4-0.4_dx_0-1_dy_00.png
0.4,-1,0,0.179205,197.559971,dy_40.4_dx_0-1_dy_00.png
1.2,-1,0,0.094132,215.805356,dy_41.2_dx_0-1_dy_00.png
2,-1,0,0.070181,239.672138,dy_42_dx_0-1_dy_00.png
-2,-0.6,0,0.117652,182.464053,dy_4-2_dx_0-0.6_dy_00.png
-1.2,-0.6,0,0.237515,172.340965,dy_4-1.2_dx_0-0.6_dy_00.png
-0.4,-0.6,0,0.272733,173.534909,dy_4-0.4_dx_0-0.6_dy_00.png
0.4,-0.6,0,0.15625,185.00055,dy_40.4_dx_0-0.6_dy_00.png
1.2,-0.6,0,0.090532,204.372012,dy_41.2_dx_0-0.6_dy_00.png
2,-0.6,0,0.069681,229.103614,dy_42_dx_0-0.6_dy_00.png
-2,-0.2,0,0.100754,169.839842,dy_4-2_dx_0-0.2_dy_00.png
-1.2,-0.2,0,0.217658,159.45025,dy_4-1.2_dx_0-0.2_dy_00.png
-0.4,-0.2,0,0.209231,161.991179,dy_4-0.4_dx_0-0.2_dy_00.png
0.4,-0.2,0,0.142915,175.008003,dy_40.4_dx_0-0.2_dy_00.png
1.2,-0.2,0,0.090103,195.549656,dy_41.2_dx_0-0.2_dy_00.png
2,-0.2,0,0.07095,221.105704,dy_42_dx_0-0.2_dy_00.png
-2,0.2,0,0.079233,158.807471,dy_4-2_dx_00.2_dy_00.png
-1.2,0.2,0,0.182667,147.97703,dy_4-1.2_dx_00.2_dy_00.png
-0.4,0.2,0,0.171631,152.496118,dy_4-0.4_dx_00.2_dy_00.png
0.4,0.2,0,0.140444,167.2723,dy_40.4_dx_00.2_dy_00.png
1.2,0.2,0,0.0932,188.935224,dy_41.2_dx_00.2_dy_00.png
2,0.2,0,0.073929,215.213676,dy_42_dx_00.2_dy_00.png
-2,0.6,0,0.070406,149.303596,dy_4-2_dx_00.6_dy_00.png
-1.2,0.6,0,0.135741,137.648944,dy_4-1.2_dx_00.6_dy_00.png
-0.4,0.6,0,0.160877,145.130552,dy_4-0.4_dx_00.6_dy_00.png
0.4,0.6,0,0.149932,161.65705,dy_40.4_dx_00.6_dy_00.png
1.2,0.6,0,0.099803,184.243973,dy_41.2_dx_00.6_dy_00.png
2,0.6,0,0.078365,211.070606,dy_42_dx_00.6_dy_00.png
-2,1,0,0.077984,142.293629,dy_4-2_dx_01_dy_00.png
-1.2,1,0,0.110503,129.061027,dy_4-1.2_dx_01_dy_00.png
-0.4,1,0,0.17661,140.426033,dy_4-0.4_dx_01_dy_00.png
0.4,1,0,0.172008,158.180467,dy_40.4_dx_01_dy_00.png
1.2,1,0,0.109368,181.31548,dy_41.2_dx_01_dy_00.png
2,1,0,0.083805,208.44808,dy_42_dx_01_dy_00.png
-2,-1,1.0,0.079822,185.060241,dy_4-2_dx_0-1_dy_01.0.png
-1.2,-1,1.0,0.186116,168.274048,dy_4-1.2_dx_0-1_dy_01.0.png
-0.4,-1,1.0,1.857525,161.065753,dy_4-0.4_dx_0-1_dy_01.0.png
0.4,-1,1.0,0.416993,165.311804,dy_40.4_dx_0-1_dy_01.0.png
1.2,-1,1.0,0.122589,179.771956,dy_41.2_dx_0-1_dy_01.0.png
2,-1,1.0,0.07833,201.40089,dy_42_dx_0-1_dy_01.0.png
-2,-0.6,1.0,0.071771,175.490407,dy_4-2_dx_0-0.6_dy_01.0.png
-1.2,-0.6,1.0,0.145411,157.466094,dy_4-1.2_dx_0-0.6_dy_01.0.png
-0.4,-0.6,1.0,1.698694,149.773369,dy_4-0.4_dx_0-0.6_dy_01.0.png
0.4,-0.6,1.0,0.401543,154.750158,dy_40.4_dx_0-0.6_dy_01.0.png
1.2,-0.6,1.0,0.135038,170.497006,dy_41.2_dx_0-0.6_dy_01.0.png
2,-0.6,1.0,0.097364,193.314643,dy_42_dx_0-0.6_dy_01.0.png
-2,-0.2,1.0,0.107406,168.179287,dy_4-2_dx_0-0.2_dy_01.0.png
-1.2,-0.2,1.0,0.137172,148.55384,dy_4-1.2_dx_0-0.2_dy_01.0.png
-0.4,-0.2,1.0,1.467793,140.140272,dy_4-0.4_dx_0-0.2_dy_01.0.png
0.4,-0.2,1.0,0.41262,146.181219,dy_40.4_dx_0-0.2_dy_01.0.png
1.2,-0.2,1.0,0.155216,163.528342,dy_41.2_dx_0-0.2_dy_01.0.png
2,-0.2,1.0,0.108835,187.61776,dy_42_dx_0-0.2_dy_01.0.png
-2,0.2,1.0,0.121875,162.247581,dy_4-2_dx_00.2_dy_01.0.png
-1.2,0.2,1.0,0.18194,140.5795,dy_4-1.2_dx_00.2_dy_01.0.png
-0.4,0.2,1.0,1.16598,131.001216,dy_4-0.4_dx_00.2_dy_01.0.png
0.4,0.2,1.0,0.454824,138.696922,dy_40.4_dx_00.2_dy_01.0.png
1.2,0.2,1.0,0.169558,157.969791,dy_41.2_dx_00.2_dy_01.0.png
